,Release Date,Title,Genre,Runtime,Budget,Revenue
312,2010-06-11,Winter's Bone,Drama,101.0,2000000.0,13831503.0
313,2011-10-08,The Artist,Drama,100.0,15000000.0,133432856.0
314,2011-09-09,The Descendants,Comedy,115.0,20000000.0,177243185.0
315,2011-12-24,Extremely Loud & Incredibly Close,Drama,129.0,40000000.0,55247881.0
316,2011-08-09,The Help,Drama,146.0,25000000.0,216639112.0
317,2011-11-22,Hugo,Adventure,126.0,170000000.0,185770160.0
318,2011-05-11,Midnight in Paris,Fantasy,94.0,30000000.0,151119219.0
319,2011-09-22,Moneyball,Drama,134.0,50000000.0,110206216.0
320,2011-05-18,The Tree of Life,Drama,139.0,32000000.0,54674226.0
321,2011-12-25,War Horse,Drama,146.0,66000000.0,177584879.0
322,2012-07-01,Amour,Drama,127.0,8900000.0,29844753.0
323,2012-10-11,Argo,Drama,120.0,44500000.0,232324128.0
324,2012-06-29,Beasts of the Southern Wild,Drama,93.0,1800000.0,21107746.0
325,2012-12-25,Django Unchained,Drama,165.0,100000000.0,425368238.0
326,2019-11-14,Les Misérables,Crime,103.0,0.0,0.0
327,2012-11-20,Life of Pi,Adventure,127.0,120000000.0,609016565.0
328,2012-11-09,Lincoln,History,149.0,65000000.0,275293450.0
329,2012-09-08,Silver Linings Playbook,Drama,122.0,21000000.0,236412453.0
330,2012-12-19,Zero Dark Thirty,Thriller,157.0,40000000.0,132820716.0
331,2013-12-12,American Hustle,Drama,138.0,40000000.0,251171807.0
332,2013-10-10,Captain Phillips,Action,134.0,55000000.0,95000000.0
333,2013-11-17,Dallas Buyers Club,Drama,117.0,5000000.0,55736588.0
334,2013-10-03,Gravity,Science Fiction,91.0,105000000.0,723192705.0
335,2013-12-18,Her,Romance,126.0,23000000.0,47351251.0
336,2013-09-21,Nebraska,Drama,115.0,12000000.0,17654912.0
337,2013-11-01,Philomena,Drama,98.0,12000000.0,100129872.0
338,2013-10-18,12 Years a Slave,Drama,134.0,20000000.0,187000000.0
339,2013-12-25,The Wolf of Wall Street,Crime,180.0,100000000.0,392000694.0
340,2014-12-11,American Sniper,War,133.0,58800000.0,542307423.0
341,2014-08-27,Birdman or (The Unexpected Virtue of Ignorance),Drama,120.0,18000000.0,103215094.0
342,2014-06-05,Boyhood,Drama,165.0,4000000.0,44349000.0
343,2014-02-26,The Grand Budapest Hotel,Comedy,100.0,30000000.0,174600318.0
344,2014-11-14,The Imitation Game,History,113.0,14000000.0,233555708.0
345,2014-12-25,Selma,History,127.0,20000000.0,66787908.0
346,2014-11-26,The Theory of Everything,Drama,123.0,15000000.0,123726688.0
347,2014-10-10,Whiplash,Drama,107.0,3300000.0,13092000.0
348,2015-12-11,The Big Short,Comedy,131.0,28000000.0,133346506.0
349,2015-10-15,Bridge of Spies,Thriller,141.0,40000000.0,165478348.0
350,2019-10-31,Motherless Brooklyn,Drama,145.0,26000000.0,18377736.0
351,2015-05-13,Mad Max: Fury Road,Action,121.0,150000000.0,378858340.0
352,2015-09-30,The Martian,Drama,141.0,108000000.0,630161890.0
353,2015-12-25,The Revenant,Western,157.0,135000000.0,532950503.0
354,2015-10-16,Room,Drama,117.0,13000000.0,35401758.0
355,2015-11-06,Spotlight,Drama,129.0,20000000.0,98690254.0
356,2016-11-10,Arrival,Drama,116.0,47000000.0,203388186.0
357,2016-12-16,Fences,Drama,139.0,24000000.0,64414761.0
358,2016-10-07,Hacksaw Ridge,Drama,139.0,40000000.0,175302354.0
359,2016-08-12,Hell or High Water,Crime,102.0,12000000.0,37589296.0
360,2016-12-10,Hidden Figures,Drama,127.0,25000000.0,230698791.0
361,2016-11-29,La La Land,Comedy,129.0,30000000.0,446486224.0
